sequence_id,session_number,game_type,difficulty,accuracy,score,response_time,mistakes,accuracy_change,target_difficulty
1,1,Memory Match & Recall,Easy,76.62,6,5.16,2,0.0,Medium
1,2,Everyday Problem Solver,Easy,88.09,4,4.01,1,11.47,Medium
1,3,Behaviour & Emotional Response,Easy,79.05,8,6.26,2,-9.04,Medium
1,4,Memory Match & Recall,Easy,86.56,5,3.74,1,7.51,Medium
1,5,Everyday Problem Solver,Medium,76.71,4,4.33,1,-9.85,Medium
2,1,Behaviour & Emotional Response,Easy,64.47,6,2.19,4,0.0,Medium
2,2,Everyday Problem Solver,Medium,44.16,4,4.47,4,-20.31,Medium
2,3,Memory Match & Recall,Medium,49.94,3,5.48,3,5.78,Medium
2,4,My Life Memories,Easy,62.07,4,2.81,2,12.13,Medium
2,5,Everyday Problem Solver,Hard,55.81,4,5.58,4,-6.26,Medium
3,1,Memory Match & Recall,Easy,62.46,3,3.85,2,0.0,Medium
3,2,Story & Conversation,Hard,51.18,4,4.51,4,-11.28,Medium
3,3,Memory Match & Recall,Medium,66.27,3,4.25,2,15.09,Medium
3,4,My Life Memories,Easy,73.76,6,3.69,2,7.49,Medium
3,5,Behaviour & Emotional Response,Hard,66.13,5,5.75,3,-7.63,Medium
4,1,Behaviour & Emotional Response,Easy,59.07,3,3.06,2,0.0,Easy
4,2,Memory Match & Recall,Medium,46.89,4,2.77,4,-12.18,Easy
4,3,Memory Match & Recall,Hard,27.17,1,6.32,4,-19.72,Easy
4,4,My Life Memories,Easy,63.07,5,4.7,3,35.9,Easy
4,5,Everyday Problem Solver,Medium,49.44,3,4.74,3,-13.63,Easy
5,1,Story & Conversation,Medium,33.5,2,4.68,3,0.0,Medium
5,2,Behaviour & Emotional Response,Medium,45.66,3,5.55,3,12.16,Medium
5,3,Everyday Problem Solver,Medium,30.24,2,5.65,6,-15.42,Medium
5,4,Behaviour & Emotional Response,Easy,50.01,4,3.79,4,19.77,Medium
5,5,Memory Match & Recall,Easy,57.49,3,5.78,2,7.48,Medium
6,1,Story & Conversation,Medium,68.93,3,4.58,2,0.0,Hard
6,2,Everyday Problem Solver,Hard,65.46,5,6.95,3,-3.47,Hard
6,3,Everyday Problem Solver,Medium,74.09,7,4.68,3,8.63,Hard
6,4,My Life Memories,Easy,81.83,5,2.91,1,7.74,Hard
6,5,Everyday Problem Solver,Medium,84.84,7,6.45,1,3.01,Hard
7,1,Behaviour & Emotional Response,Medium,64.94,6,5.41,4,0.0,Medium
7,2,Story & Conversation,Easy,66.55,4,4.9,2,1.61,Medium
7,3,Behaviour & Emotional Response,Medium,71.15,4,4.89,1,4.6,Medium
7,4,Memory Match & Recall,Easy,82.81,5,1.5,1,11.66,Medium
7,5,My Life Memories,Medium,69.85,7,5.05,3,-12.96,Medium
8,1,My Life Memories,Medium,56.07,6,2.67,4,0.0,Medium
8,2,Behaviour & Emotional Response,Easy,65.7,3,4.9,2,9.63,Medium
8,3,Memory Match & Recall,Medium,67.38,5,4.34,3,1.68,Medium
8,4,Story & Conversation,Easy,65.16,7,3.88,3,-2.22,Medium
8,5,Everyday Problem Solver,Medium,67.01,5,5.36,3,1.85,Medium
9,1,Behaviour & Emotional Response,Medium,55.13,3,5.18,2,0.0,Medium
9,2,Story & Conversation,Hard,47.37,3,5.08,3,-7.76,Medium
9,3,Everyday Problem Solver,Medium,53.09,3,4.6,3,5.72,Medium
9,4,Behaviour & Emotional Response,Hard,35.77,2,6.37,3,-17.32,Medium
9,5,Behaviour & Emotional Response,Easy,69.62,3,4.45,2,33.85,Medium
10,1,Memory Match & Recall,Hard,35.99,3,5.51,5,0.0,Medium
10,2,Everyday Problem Solver,Easy,65.92,3,3.51,2,29.93,Medium
10,3,Memory Match & Recall,Medium,58.51,3,5.52,2,-7.41,Medium
10,4,Behaviour & Emotional Response,Medium,72.3,4,5.13,2,13.79,Medium
10,5,My Life Memories,Hard,52.03,3,5.79,3,-20.27,Medium
11,1,Story & Conversation,Medium,31.06,3,5.32,7,0.0,Medium
11,2,Everyday Problem Solver,Hard,35.5,2,5.79,4,4.44,Medium
11,3,Story & Conversation,Medium,36.03,3,5.17,5,0.53,Medium
11,4,My Life Memories,Hard,16.71,2,7.54,8,-19.32,Medium
11,5,Memory Match & Recall,Easy,51.73,3,5.54,2,35.02,Medium
12,1,Story & Conversation,Easy,64.78,4,2.8,2,0.0,Easy
12,2,Behaviour & Emotional Response,Easy,61.38,3,7.14,2,-3.4,Easy
12,3,Memory Match & Recall,Easy,53.42,3,3.89,2,-7.96,Easy
12,4,Story & Conversation,Easy,61.46,4,3.9,2,8.04,Easy
12,5,Story & Conversation,Medium,43.06,3,5.24,3,-18.4,Easy
13,1,Behaviour & Emotional Response,Easy,56.91,6,3.44,4,0.0,Medium
13,2,Everyday Problem Solver,Medium,54.87,5,4.12,5,-2.04,Medium
13,3,Everyday Problem Solver,Easy,55.13,6,5.54,4,0.26,Medium
13,4,Story & Conversation,Medium,41.18,4,5.44,6,-13.95,Medium
13,5,Memory Match & Recall,Medium,57.91,3,3.11,2,16.73,Medium
14,1,Memory Match & Recall,Medium,64.33,5,5.92,3,0.0,Medium
14,2,Memory Match & Recall,Easy,66.85,4,2.88,2,2.52,Medium
14,3,Behaviour & Emotional Response,Medium,68.9,7,5.31,3,2.05,Medium
14,4,Everyday Problem Solver,Easy,78.77,5,4.79,1,9.87,Medium
14,5,Memory Match & Recall,Medium,64.69,3,5.26,2,-14.08,Medium
15,1,Memory Match & Recall,Medium,60.11,3,7.26,2,0.0,Medium
15,2,Memory Match & Recall,Hard,56.74,3,4.42,3,-3.37,Medium
15,3,Everyday Problem Solver,Medium,71.34,7,3.76,3,14.6,Medium
15,4,Everyday Problem Solver,Hard,61.62,3,7.2,2,-9.72,Medium
15,5,Everyday Problem Solver,Medium,65.47,7,6.13,3,3.85,Medium
16,1,Story & Conversation,Hard,59.12,6,8.1,4,0.0,Hard
16,2,Story & Conversation,Medium,66.22,7,4.07,3,7.1,Hard
16,3,Everyday Problem Solver,Easy,73.85,4,3.43,2,7.63,Hard
16,4,Memory Match & Recall,Medium,70.23,4,5.35,1,-3.62,Hard
16,5,Story & Conversation,Easy,83.85,8,5.32,2,13.62,Hard
17,1,Behaviour & Emotional Response,Hard,56.92,3,5.53,3,0.0,Medium
17,2,Memory Match & Recall,Hard,66.02,3,6.52,2,9.1,Medium
17,3,Everyday Problem Solver,Easy,68.05,3,3.17,2,2.03,Medium
17,4,Everyday Problem Solver,Medium,67.59,4,4.69,2,-0.46,Medium
17,5,Behaviour & Emotional Response,Medium,70.48,4,5.5,1,2.89,Medium
18,1,My Life Memories,Medium,53.83,4,3.25,4,0.0,Medium
18,2,Story & Conversation,Easy,67.73,5,5.49,3,13.9,Medium
18,3,Everyday Problem Solver,Easy,73.19,4,2.92,2,5.46,Medium
18,4,Story & Conversation,Medium,64.45,3,5.45,2,-8.74,Medium
18,5,Memory Match & Recall,Medium,59.6,3,5.21,2,-4.85,Medium
19,1,Memory Match & Recall,Medium,54.02,4,5.5,4,0.0,Medium
19,2,Everyday Problem Solver,Hard,53.74,3,7.17,2,-0.28,Medium
19,3,Everyday Problem Solver,Medium,70.2,4,3.29,2,16.46,Medium
19,4,My Life Memories,Hard,47.75,4,6.54,4,-22.45,Medium
19,5,Behaviour & Emotional Response,Hard,57.96,3,6.45,2,10.21,Medium
20,1,Behaviour & Emotional Response,Easy,98.0,5,5.58,0,0.0,Hard
20,2,Everyday Problem Solver,Easy,98.0,5,5.0,0,0.0,Hard
20,3,Behaviour & Emotional Response,Easy,98.0,8,5.13,0,0.0,Hard
20,4,Behaviour & Emotional Response,Easy,98.0,8,3.93,0,0.0,Hard
20,5,Everyday Problem Solver,Medium,98.0,8,4.81,0,0.0,Hard
21,1,Behaviour & Emotional Response,Medium,83.52,4,5.66,1,0.0,Hard
21,2,Memory Match & Recall,Medium,86.54,7,4.24,1,3.02,Hard
